Name,oldest_sequence,newest_sequence,number_taxa
UK7393,2020-04-03,2020-04-03,1
UK1455,2020-03-31,2020-04-08,4
UK544,2020-03-28,2020-04-05,5
UK7290,2020-04-03,2020-04-03,1
UK6537,2020-04-23,2020-04-30,3
UK7905,2020-04-30,2020-04-30,1
UK6538,2020-04-30,2020-04-30,1
UK6791,2020-04-30,2020-04-30,1
UK6235,2020-04-28,2020-04-28,1
UK6540,2020-04-29,2020-04-29,1
UK2891,2020-03-29,2020-04-29,4
UK7191,2020-03-23,2020-03-23,1
UK7530,2020-03-25,2020-03-25,1
UK7531,2020-03-27,2020-03-27,1
UK7532,2020-03-29,2020-03-29,1
UK7533,2020-03-30,2020-03-30,1
UK42,2020-03-01,2020-03-23,10
UK7208,2020-03-31,2020-03-31,1
UK7534,2020-03-30,2020-03-30,1
UK7582,2020-03-20,2020-03-20,1
UK7535,2020-03-25,2020-03-25,1
UK7536,2020-03-24,2020-03-24,1
UK7537,2020-03-31,2020-03-31,1
UK6399,2020-04-16,2020-04-20,2
UK139,2020-03-19,2020-04-17,54
UK7588,2020-04-16,2020-04-16,1
UK7352,2020-04-14,2020-04-14,1
UK7538,2020-04-16,2020-04-16,1
UK7539,2020-04-17,2020-04-17,1
UK2978,2020-04-17,2020-04-17,2
UK7602,2020-04-16,2020-04-16,1
UK3632,2020-04-13,2020-04-14,4
UK3994,2020-04-15,2020-04-16,8
UK7540,2020-04-15,2020-04-15,1
UK7388,2020-04-16,2020-04-16,1
